"","comments","event","Date"
"22","There are people like myself who can see all this bull kaka . And when the time is right we will rise through the power of our and in . The so time is almost over . Blessed be our Lord and savior . His child and servant . Have a great day . Amen .","AZ Clots","2021-05-26"
"23","It a minimum of 15 to produce a true vaccine that is safe and effective . Anything else is just smoke and propaganda .","AZ Clots","2021-05-26"
"24",", is anybody even listening to these people .","AZ Clots","2021-05-26"
"25","Stupid Lab 🤣🤣","AZ Clots","2021-05-26"
"26","Not the first ..","AZ Clots","2021-05-26"
"27","So 1 covid death is 1 too many but a death by a vaccine is rare ......","AZ Clots","2021-05-26"
"28","Not wanting the vaccine is a stupid opinion . Say any of these in out in public and everyone is going to think you ’ re slow","AZ Clots","2021-05-26"
"29","Flu season is over ///","AZ Clots","2021-05-26"
"30","What ' s the now ? I ' bet they ' it to produce the effect that vaccine works . The testing is useless for viral testing according the the recently deceased inventor of , . More and More and more people are learning this purposefully hidden bit of fact . Shame on health . They must be tried for against humanity","AZ Clots","2021-05-26"
"31","The top virologist - considered one of the best in the world until he went against the Big narrative - just that all people will be dead in 2 . Let ' s see , boy 80 % by . Can you imagine 12 million dead by 2022 ? There goes the housing market !","AZ Clots","2021-05-26"
"32","wow , they can lie more than professional !","AZ Clots","2021-05-26"
"33","Wow they actually admit someone ? I to an acquaintance whose wife just . 70ish , no health , went to bed and in her sleep . Medical people had no idea why she . Heart failure ? ' t be the vaccine ! It the routine is : 1 ) die with covid and scream bloody murder ! 2 ) die after getting vaccine and shrug their , must have been old age . I wonder how many elderly are dying in their sleep and not getting on Global news .","AZ Clots","2021-05-26"
"34","This is unfortunate . Vaccine hesitancy needs to be by the government . Too many , false information , misinformation and conspiracy on social media . This may be an issue once we approach 90 % . It ' s awful seeing people being by this .","AZ Clots","2021-05-26"
"35","How is it rare !?, it been happening again and again , along with heart thrombosis , pure spin on this , the cure can kill you 100 %, but its rare 🤔.... yet Corona is 99 . 8 % survivable , how does this make sense !!!, not one death is acceptable when you are told its the cure !!!","AZ Clots","2021-05-26"
"36","Another family one because of this death vaccine ! Give another dose ! Yah right ! He ’ t get first one ! Wait for long term side !","AZ Clots","2021-05-26"
"37","This comment section be fun .","AZ Clots","2021-05-26"
"38","how even both of you still exist remember they read wath the government them to read and they go home they get caught on shame don ' t know how those people cauld sleep they are not human","AZ Clots","2021-05-26"
"39","Figure out how to work the site - adverse and are high and this only 10 % or less ....","AZ Clots","2021-05-26"
"40","Scum of the 4th for .","AZ Clots","2021-05-26"
"41",""" "" have no relevance . The is the killer .","AZ Clots","2021-05-26"
"42","It me these , even though people are to these , they keep saying get it done . They never state healthy , do they . Boy Big and the medical are getting and off this and humanity .","AZ Clots","2021-05-26"
"43","So now death is an acceptable side effect .","AZ Clots","2021-05-26"
"44","Is it still rare ?","AZ Clots","2021-05-26"
"45","When blood happen over and over all over the country these vaccine side effects are no longer rare but become common","AZ Clots","2021-05-26"
"46","You ' pay for this one day ..... You know who you are and what you ' re doing ... . Agenda 2030 .....","AZ Clots","2021-05-26"
"47","The don ' t listen to real they just read whatever tam and them to read like good little .","AZ Clots","2021-05-26"
"48","* Pretty regular for being so rare I ' d say * - NOW WHY dont they EVER talk about all the other serious adverse that ALSO TAKE YOUR L ! FE , PERMANENTLY DISABLE YOU ... like the , continuous like , uncontrolled grand maul , blindness , heart , just ' found dead ' for no apparent reason .. and the of listed on and other . They are pretty quiet on those , one would thing ' rare ' blood were the only ' rare ' adverse reaction eh ?","AZ Clots","2021-05-26"
"49","Lying filth ..","AZ Clots","2021-05-26"
"50","How many people are injured or from these across Canada since have been on healthy people ? How long before you walk it back again ?!","AZ Clots","2021-05-26"
"51","Double standard , if 1 per cent die from covid for the government "" its too much ""... if 1 percent die from reaction to vaccine "" its nothing !""...","AZ Clots","2021-05-26"
"52","I ' m sure that person would have more to survive covid without that vaccine ...","AZ Clots","2021-05-26"
"53","It ' s on them more than ever for not stopping these "" "" that are killing people who otherwise would have still been living if they ' t take this .","AZ Clots","2021-05-26"
"54","I donate my vaccine to the oppressed .","AZ Clots","2021-05-26"
"55","I had the first dose of , I would take the second dose If I was that if I do develop the blood clot the hospital in would ' send me home to die . The one that from blood clot related from , went to the hospital they didnt treat her and sent her home a day later she went back to the hospital and then . I would rather live thanks !","AZ Clots","2021-05-26"
"56","They will be coming for you !!!!","AZ Clots","2021-05-26"
"57","How can the of the province be based on vaccination by the same vaccine that one and more unreported ? like a depopulation plan to me !","AZ Clots","2021-05-26"
"58","How about the heart for younger people who have taken the vaccine . Its not getting better with all these side effects that are serious and sometimes fatal or long lasting .","AZ Clots","2021-05-26"
"59","Two days ago he was its safety when other country ' s stopped it big coincidence I ' m sure some one had to die from the expert advice from WHO dope .","AZ Clots","2021-05-26"
"60","this is why I ' m not getting it . I would rather get it and beat it .","AZ Clots","2021-05-26"
"61","Get what you ask for . are next 😪","AZ Clots","2021-05-26"
"62","Nobody should be taking that one . Its unethical to shame people into taking it and unethical to promote it over . .","AZ Clots","2021-05-26"
"63","Gee ... great .. feel uneasy .. concerned ? Yes ! I got one ... I ' m in my 40 ' s ... I ' d like my !","AZ Clots","2021-05-26"
"64","I ' m not guinea pig and I will not get no experiment at all not for million even . My health or immune system is not for sale .","AZ Clots","2021-05-26"
"65","I wonder the long term effects of each given to our only time will tell the lead with blood that can cause someone to die my thought go out to those that away & to family and still hope that this vivid goes away for good","AZ Clots","2021-05-26"
"66","Go to under covid vaccine look for must read evidence . Pull up comment . Might just save your life .","AZ Clots","2021-05-26"
"67","Big is after as they are for non profit and much to manufacture and store / administer ... got to keep them up eh .","AZ Clots","2021-05-25"
"68","And how many you have Not ?","AZ Clots","2021-05-25"
"69","Bill have in his big monitor of all people dying from the vaccine . He ' s smiling .","AZ Clots","2021-05-25"
"70","I trust and","AZ Clots","2021-05-25"
"71","Who ever made ’ t do the properly","AZ Clots","2021-05-25"
"72","Do not take - at all","AZ Clots","2021-05-25"
"73","This person to and all those vile - who that lethal vaccine . He or she was the one in a hundred thousand people .","AZ Clots","2021-05-25"
"74","No for all the People who from all other !!!! Especially , all the people waiting for Elective !!!","AZ Clots","2021-05-25"
"75","it was a known risk and murder or it ' t and murder by malpractice for prison","AZ Clots","2021-05-25"
"76","Meanwhile the of Drug Overdose and Suicide continue to Rise !!!!","AZ Clots","2021-05-25"
"77","How many non fatal ?","AZ Clots","2021-05-25"
"78","THIS MAN IS LYING TO YOU . LOTS OF PEOPLE HAD BLOOD FROM THE AND SOME TO . LOOK IT UP .","AZ Clots","2021-05-25"
"79","2 . 0 include the News Media for their role in the Mass Experimental JAB","AZ Clots","2021-05-25"
"80","( A Covid 19 Vaccine ) to 666 in gematria . Mankind was made in the image of . We have His name written upon our very . have proved that His name is upon every soul . 3 , 2015 Your is with God ' s name . = 10 Hey = 5 = 6 Hey = 5 --- or . mark of the beast !!! Revelation 13 : 17 17 And that no man might buy or sell , save he that had the MARK , or the NAME of the beast , or the NUMBER of his name . 3 King Version 3 O foolish , who hath you , that ye should not obey the truth , before whose hath been evidently set forth , crucified among you ? 2 This only would I learn of you , Received ye the Spirit by the works of the law , or by the hearing of faith ? 3 Are ye so foolish ? begun in the Spirit , are ye now made perfect by the flesh ? 4 : 12 King Version 12 Neither is there salvation in any other : for there is none other name under heaven given among men , whereby we must be saved . 1 . LIGHT or CORONA or CROWN will shine no more in thee . 2 . Voice of the bridegroom ( ) will be no more in thee . 3 . All by her or . “ The fact that the genetic code can simultaneously write two of information that many that appear to alter protein may actually cause disease by gene control or even both simultaneously ,” said . University of News . were to discover that use the genetic code to write two separate . One how are made , and the other the cell on how are . One language is written on top of the other , which is why the second language hidden for so long . is "" married "" to a to sneak it into . ( C ) ( O ) f ( V ) ( ID ) by AI or ( 19 ) Patent of the beast . Mankind was made in the image of . We have His name written upon our very . have proved that His name is upon every soul . 3 , 2015 Your is with God ' s name . = 10 Hey = 5 = 6 Hey = 5 --- or . mark of the beast !!! MONKEY KIDNEY TISSUE is used to support the growth of certain for making ; for example , it was used to support the growth of the polio virus that went into the oral polio vaccine . Multiple purification ensure that no KIDNEY are present in the final product ....... if you believe that . for varicella ( ), rubella ( the “ R ” in the vaccine ), hepatitis A , rabies ( one version ) and COVID - 19 ( one U . S .- version ) are all made by growing the in FETAL . All of these , except the COVID - 19 vaccine , are made fibroblast . The COVID - 19 vaccine ( & ( J & J )/ ) is made FETAL RETINAL . In test found our can accidentally convert of into and can save that genetic code into the affected hard drive . Whose feeling lucky ? roll the dice on scribble scrabble on the roulette wheel whose ironically when added up equal 666 . All of these count to 666 in gematria . See a pattern yet or better yet a message ?: VACCINATION ( A COVID 19 VACCINE ) HIDDEN GOD KEY GOD MARK OF THE BEAST A SATANIC MARK CALCULATE NAME DECODE LORD GOD HUGE PROOF THERE IS A GOD BEAST IS REAL HELL A REAL PLACE TRUE BEAST COMPUTER ANCIENT HEY BE CAREFUL Revelation 6 : 2 King Version 2 And I saw , and behold a white horse : and he that sat on him had a BOW ( TOXON ); and a CROWN ( CORONA ) was given unto him : and he went forth conquering , and to conquer . The ancient archer ' s tool of war was the toxon , a word for both bow and arrow . To make their weapon , dipped their arrow in poison .","AZ Clots","2021-05-25"
"81","For 20 they ' been working on a vaccine with no luck . Yet somehow in a rushed situation , that was able to skip any animal testing , we somehow found successful ??? This whole push for vaccination is .","AZ Clots","2021-05-25"
"82","It ' s not rare","AZ Clots","2021-05-25"
"83","1st one , I ' m sure everyone else who complication "" covid ""","AZ Clots","2021-05-25"
"84","Unfortunately , completely hollow and insincere and I believe it is true , she just what they give her . Where did we find people like this to serve in public health ?","AZ Clots","2021-05-25"
"85","like murder","AZ Clots","2021-05-25"
"86","It ' s very very rare that are dying from Covid . But you still want to inject that poison ( so vaccine ) into their healthy body .","AZ Clots","2021-05-25"
"87","The count of from COVID - 19 in Canada was 1 , 284 , 481 as of May 24 , 2021 .","AZ Clots","2021-05-25"
"88","We experienced blood in the , so they sent the bad to Canada !!","AZ Clots","2021-05-25"
"89","And because the may go bad in storage they are going to inject for 2nd dose . But not for first . Beyond ridiculous , stupid and risky . I would not trust it for a second even if I had the first .","AZ Clots","2021-05-25"
"90","Government , big and the bought and for media are all 100 % responsible for any and all after pushing an experimental drug on an unsuspecting public . False and of the serious side , death , too all of these is criminal ! Suppression of therapeutic such as was criminal . The people have up .... Justice is coming !","AZ Clots","2021-05-25"
"91","Rare , I hope she it but it ’ s rare what a shame","AZ Clots","2021-05-25"
"92","If you ’ re waiting to get the shot - or the 2nd shot , watch the following video . Video is interview with Prof . , M . D . He is the most immunologist / microbiologist in German academic history : * on the Pandemic | "" Blood and Beyond "" | Episode 15 * Description of video : In , 2021 , Professor , M . D . and a number of his the Agency ( ) about the potential danger of blood and cerebral vein thrombosis in millions of people experimental gene - based . Since then , two of the four have been suspended or in and the United for just that reason . In this episode of , Professor the science behind the problem , why it is not just limited to the already suspended , and why in the long term we may be dangerously overactive immune in of unwitting .","AZ Clots","2021-05-25"
"93","Translation : we are going to lock you down and blame you for ' not doing what you were supposed to do '.","AZ Clots","2021-05-25"
"94","I jUsT rEaD wHaT tHeY tEll mE","AZ Clots","2021-05-25"
"95","Since it ’ t finish animal and ’ t gone through human ....","AZ Clots","2021-05-25"
"96",""" Rare "" if it was "" rare "" it would not been related to the vaccine , stop the word game , it is what it is , but people love all this stupidity","AZ Clots","2021-05-25"
"97","I ' order my restaurant food for take out , don ' t care for concert ' s , sports watch on . I ' fish , walk , sit by fire with , golf and stay away from . I ' m 47 and will Not become a monkey for untested . I ' wait 6 see how many come out","AZ Clots","2021-05-25"
"98","extremely rare .... is getting hit by lightning . these keep showing up . they ARE NOT extremely rare . dont get the vaccine . the odds are ..... that survive covid . thats science .. this vaccine is $ experiment .","AZ Clots","2021-05-25"
"99","There is more than one but media no longer can hide this information . But the real media Twist soon will be that are dying because of unvaccinated not from itself .","AZ Clots","2021-05-25"
"100","I would like the to give a press conference us know how we can save ourselves from the government .","AZ Clots","2021-05-25"
"101","Big pushing a product with zero liability .","AZ Clots","2021-05-25"
"102","1 - May 23 . 2021 Covid - 1 Vaccine - 210 Source : Government report 27 / 5 Spread the word people . It ’ s all","AZ Clots","2021-05-30"
"103","How it is that anyone over 50 can ' t get the vaccine . I ' m not taking the one that I have read chimpanzee in it . Yuck . No thanks .","AZ Clots","2021-05-27"
"104","So , in are off that they are not able to share in the of being able to vaccinate .","AZ Clots","2021-05-25"
"105","Why are they still giving it out there is an agenda behind this vaccine they saying it is not safe but they still give it why fishy","AZ Clots","2021-05-25"
"106","because your family are a bunch of don ’ t try and push it on me you are segregation in this country","AZ Clots","2021-05-23"
"107","Disgusting presentation ... this is vaccine advertising . Where ’ s the real news ?","AZ Clots","2021-05-23"
"108","Get do on the job . and more from . A totally unnecessary jab . The depopulation jab .","AZ Clots","2021-05-23"
"109","Funny how everything they ' re doing in the advertisement is everything that they say "" might "" still give you the ... It ' s all a show .. Nothing more !","AZ Clots","2021-05-22"
"110","Blood ? What in the are you talking about ?","AZ Clots","2021-05-22"
"111","But it is not vaccine hesitancy . It is hesitancy ! And blood . Please offer over 50 s the vaccine !","AZ Clots","2021-05-22"
"112","Just forget it , I dont want any blood .","AZ Clots","2021-05-22"
"113","Please allow over 50s to get so I can get a safe vaccine !","AZ Clots","2021-05-22"
"114","Less people on pension that is the target . Why force this unsafe vaccine on people over 50 unless there is something fishy about it .","AZ Clots","2021-05-21"
"115","When national disgrace this jab mandatory and mayhem will follow no jab no food or petrol no nothing just wait until the society is Up and running covid number is only way to survive thanks for coming back to get us that simply believe out of this total mess God bless all","AZ Clots","2021-05-21"
"116","😃 now let ' s make this a party like thing 🎉. to trick you in .","AZ Clots","2021-05-20"
"117","🌏🐨 my are politician . only cause they ' re not in the clot .","AZ Clots","2021-05-20"
"118","😃🐨 wow . like a contest . what do they expect to happen if it is done on a large scale .","AZ Clots","2021-05-20"
"119","Where are all the ??? Oh that ' s right there ' s no public , wait a couple of the birthday weekend is coming up .","AZ Clots","2021-05-20"
"120","in arms , WAKE THE f @#$ UP !!!","AZ Clots","2021-05-20"
"121","No you haven ' t , no one you listed had it .","AZ Clots","2021-05-20"
"122","code 10 : The voluntary consent of the human subject is absolutely essential . The experiment should be such as to yield fruitful for the good of society , unprocurable by other or of study , and not random and unnecessary in nature . Geneva Convention Rule 92 . Mutilation , medical or scientific or any other medical procedure not by the state of health of the person concerned and not consistent with generally accepted medical are .","AZ Clots","2021-05-20"
"123","I actually got the for Covid - 19 . I ordered it from public referral in my and Communist Party membership # 42 . It by courier in freezer bag 3 days later . I chose the because the sample size of in testing had good reliability and statistical power was sufficient to justify factorial that had been to occur . I ' m sorry that none of us can prevent these from happening to you all . But at least I know that my vaccine the rigor of peer review in block and I have sufficient to confirm the likely utility of the vaccine . I wish you all well and hope the western exchange economy are well :)","AZ Clots","2021-05-20"
"124","should be put on trial for murder , he went for the cheap option when we all could of just got . His incompetence is criminal he out in the same way his party did during the roll out .","AZ Clots","2021-05-20"
"125","= WEAPON ( in an is a supernatural weapon over by a deity , = Is polish to that = is in translate to killing - - WEAPON - THAT - Coincidence ??","AZ Clots","2021-05-20"
"126","Who is these ? What is an expert ? If it ’ s a human it is flawed no doubt as history taught us all done to life on this planet was perfected by","AZ Clots","2021-05-20"
"127","Don ' t be a Wacker","AZ Clots","2021-05-20"
"128","But I thought the jab had been done and the jab was safe","AZ Clots","2021-05-20"
"129","We are all going to die","AZ Clots","2021-05-20"
"130","I now understand vaccine blood . But can we please learn more about the other and dangerous side effects before many more people die ?","AZ Clots","2021-05-20"
"131","Gilbert 1995 Magnetic ( ) ...","AZ Clots","2021-05-20"
"132","notice how their are different , for different age 🤔","AZ Clots","2021-05-20"
"133","Gilbert 1995 Magnetic ( )","AZ Clots","2021-05-20"
"134","Good on you you stupid ' s stupid what is in the vaccine please explain professor .","AZ Clots","2021-05-20"
"135","... that was so silly of them . Why do people insist on the ?","AZ Clots","2021-05-20"
"136","I do not believe a word . He is a pathological liar .","AZ Clots","2021-05-20"
"137","And the is us into taking these even though they are known to cause blood .","AZ Clots","2021-05-20"
"138","Shadow banning . ' t look great .","AZ Clots","2021-05-20"
"139","Forcefully vaccinate all people with brown !","AZ Clots","2021-05-20"
"140","Oh but the Government it ’ s safe ... a complete and utter Evil Agenda !","AZ Clots","2021-05-20"
"141",""" ! Sorry your one of the vaccine '' and now you expect . to rush in .👎 '' This is a safe vaccine '', but I can ' t guarantee that you won ' t die of it .","AZ Clots","2021-05-27"
"142","From the moment you haven ' t isolated the covid - 19 virus how could you be making a vaccine . These are not the wrongfully this illegally do not have this sort of effect on people by giving them blood . The vaccine is the biggest genocide that every single government is responsible of . It is disgusting that are keeping their shut while they ' re murdering people . Look up and he will enlighten you with what ' s going on . Since when been put into . By into you are basically killing people off","AZ Clots","2021-05-25"
"143","Government dont care about people ’ s","AZ Clots","2021-05-24"
"144","So rare and they continue to give it out this does not sound right this vaccine is dangerous","AZ Clots","2021-05-24"
"145","Sick of hearing about blood every day .. and the government pushing over 50s to risk is .","AZ Clots","2021-05-24"
"146","This is why the premier not had her jab she does not trust it either","AZ Clots","2021-05-23"
"147","My Father In Law away this morning , 2 days after his 2nd dose of . He was fine with no health . company had so many it ' s hard to count . The company had its "" "" suspended in over 18 over of blood and they completely botched their meeting with the with from their study that ' t match . Do not trust any of these . No liability . No Trust !","AZ Clots","2021-05-21"
"148","How is it a safe vaccine if some people have got blood in their brain due to the vaccine ? for most people yes but for some few its not . So he is misleading the public and as they don ' t know why it effects different people , the next person who a serious life threatening blood clot could be u as these are happening to anyone .","AZ Clots","2021-05-21"
"149",""" They know how to diagnose em and treat em "" how about you stop this poison and people won ' t need to be or . Bunch of ****","AZ Clots","2021-05-21"
"150","Take the vaccine , they said . It ’ be safe , they said .","AZ Clots","2021-05-21"
"151","there is serious hesitancy in the please don ' t believe our &* t media . they are threatening us with in of low take up , even though we only hospitality 2 ago . it really does not feel like free will .","AZ Clots","2021-05-21"
"152","I will wait for the annual Guinea Pig report to be , before even remotely considering vaccination .","AZ Clots","2021-05-21"
"153","To think they to force vaccination on and not even tell them what vaccine they would be getting !!! This is like running riot over the population !!!","AZ Clots","2021-05-21"
"154","the fact they are still calling them rare is deliberate criminal deception and is gaslighting the public into way .","AZ Clots","2021-05-20"
"155","during the , even the media was and put to death for lying to the public","AZ Clots","2021-05-20"
"156","25 / 2500000 = 0 . 00001 %","AZ Clots","2021-05-20"
"157","Canada recently ( ) it . Get one of the other . We had one death in . Several and a guy who had to have part of his lower intestine removed . Definitely dont risk it . Get one of the .","AZ Clots","2021-05-20"
"158","N 🚫 💉","AZ Clots","2021-05-20"
"159","What in the is going on here ?","AZ Clots","2021-05-20"
"160","not so rare by the sound of it . And becoming better at .🤣🤣🤣 it ' s not like blood are something new . . It took 5 to hospital for the 18 year old nurse before they could work it out . Come on seriously .","AZ Clots","2021-05-20"
"161","How "" rare "" it is ' t matter when it to you .","AZ Clots","2021-05-20"
"162","Go to telegram and join protocol","AZ Clots","2021-05-20"
"163","Time was you got sick , displayed , took medicine and well . Now it , you start off perfectly healthy , take the "" remedy "" and become sick , a state of indeed .","AZ Clots","2021-05-20"
"164","Get the shot . Get the clot .","AZ Clots","2021-05-20"
"165",""" This is a safe vaccine "" the prime minister . They keep that over and over and over . Something ' t smell right . I don ' t trust this guy or Baal & his shot .","AZ Clots","2021-05-20"
"166","Excuse me Sir / Madam Are you saved ? If you tonight are you going to heaven ? you Tenpenny watch","AZ Clots","2021-05-20"
"167","24 have the","AZ Clots","2021-05-20"
"168","Be careful . They pretend to give you the truth by telling you about blood in while leading you towards . They ' re very cunning these","AZ Clots","2021-05-20"
"169","Poisonous vaccine","AZ Clots","2021-05-20"
"170","of side effects in but and media still to keep it covered up because it ' s not news that they want made public .","AZ Clots","2021-05-20"
"171","What me , if your over 50 you are given one choice , .... I definitely will not risk my life .. Give us","AZ Clots","2021-05-20"
"172","how wrong does something need to be before most people wake up and say "" this is wrong ""","AZ Clots","2021-05-20"
"173","Very very misleading - what in was a dirty political game of oxygen from resulting in millions of preventable . No should be to take any vaccine , situation is not comparable to .","AZ Clots","2021-05-20"
"174","And still our f ing government it safe . Well will the government sign a legal agreement giving people the right to sue them if you get ill from this non tested vaccine","AZ Clots","2021-05-20"
"175","He gave the word rare a new meaning","AZ Clots","2021-05-20"
"176","A A","AZ Clots","2021-05-20"
"177","Stop calling it rare .","AZ Clots","2021-05-20"
"178","Yet another rare case","AZ Clots","2021-05-20"
"179","If you take it I ’ m sorry , you deserve what you get .","AZ Clots","2021-05-20"
"180","At this point I am days away from taking now considering waiting for or . This sort of thing should not happen with a vaccine .","AZ Clots","2021-05-20"
"181","rare Lying","AZ Clots","2021-05-20"
"182","I keep hearing on the radio them saying there are no long term effects . They this so vaccine about 8 ago . And now there are major . No wonder people don ’ t want it . 8 is not long term . How could they possibly know any long term effects .","AZ Clots","2021-05-20"
"183","me of the Steven King novel , movie ' They always come back '","AZ Clots","2021-05-20"
"184","More than covid ..","AZ Clots","2021-05-20"
"185","there ' s out of all the ' s","AZ Clots","2021-05-20"
"186","Its linked to the blood clot murder satellite","AZ Clots","2021-05-20"
"187","At first they were saying that only elderly were more at risk & should be first .","AZ Clots","2021-05-20"
"188","the media is saying the arent by the","AZ Clots","2021-05-20"
"189","I ' m so worried about covid going to get my clot .. I mean vaccine tomorrow","AZ Clots","2021-05-20"
"190","I wish the press would put more onus on how we are rolling out the vaccine in stead of the for ever doom and gloom about blood . 24 in two million . I had my jab yesterday , I think it ’ s an acceptable risk to make sure stays safe .","AZ Clots","2021-05-20"
"191","Rare ? 😂","AZ Clots","2021-05-20"
"192","Rare ’ t mean what you think it .","AZ Clots","2021-05-20"
"193","Good grief !!! You ’ d have to be to gamble with these . Blood are no joke and can drop you in an instant .","AZ Clots","2021-05-20"
"194","It is the made in .","AZ Clots","2021-05-20"
"195","Why this vaccine is still available 🤬🤬🤬🤬","AZ Clots","2021-05-20"
"196","Do they want to get rid of people that over 50 old ?","AZ Clots","2021-05-20"
"197","can ' t use healing ?","AZ Clots","2021-05-20"
"198","Here we keep going again","AZ Clots","2021-05-20"
"199","is £ 15 . 45 million ($ 21 . 52 million ) in pay for on financial and scientific in “ extremely ” and for his “ inspiring leadership ” in the company ’ s COVID - 19 response , ’ s board said in its annual report","AZ Clots","2021-05-20"
"200","What a joke , do what slowly ? Killing people with blood ! . Stick your vaccine where it , I will NEVER have the vaccine , this is criminal what the are doing . Safe , yeah for who , the nurse jabbing you with it ?","AZ Clots","2021-05-20"
"201","Forget it I am over 50 . I am not going to put my health at risk with vaccine . Offer me and I will have it .","AZ Clots","2021-05-20"
"202","What are the true and !?!? health and death ????????","AZ Clots","2021-05-20"
"203","Corona is dangerous because it cause blood clothes , but vaccine causing blood is","AZ Clots","2021-05-20"
"204","This is becoming not so rare .... Also there ' s been more clot in the over 50 ' s it","AZ Clots","2021-05-20"
"205","maybe the spike protein is causing it .","AZ Clots","2021-05-20"
"206","maybe the spike protein is causing it .","AZ Clots","2021-05-20"
"207","1 in 100 , 000 if your over 60 for blood .","AZ Clots","2021-05-20"
"208","We should have a 2","AZ Clots","2021-05-20"
"209","you yeah keep saying RARE as long as it you feel better ... but make you the enemy of those of this suspect vaccine .... At least you keep the open ................ unlike the Cancel Culture ....","AZ Clots","2021-05-20"
"210","Yeah but if you don ' t get the jab no passport for you what a joke","AZ Clots","2021-05-20"
"211","It is happening frequently everywhere . In addition , people are actually magnet stuck on the arm site of the injection . This is scary . This is not nice when one is forced to take that vaccine by the government .","AZ Clots","2021-05-20"
"212","Prof . Terry , we are too slowly ..... who is the panic directed at , in your message ? got this well and truly under control . You can report as many as you like , since the - testing does not give you a valid result .","AZ Clots","2021-05-20"
"213","0 . 001 % chance of a clot and dying , that ’ s more than the 0 . 00001 % chance of a healthy person dying from the actual virus 🤨🤨🤨","AZ Clots","2021-05-20"
"214","PROF . TERRY WAS THAT CONFIDENT , HE A SCRIPT , WHAT A JOKE , .","AZ Clots","2021-05-20"
"215","Most have had the vaccine so the are wrong , how many people have had specifically ???","AZ Clots","2021-05-20"
"216","How many people die after taking ?","AZ Clots","2021-05-20"
"217","So rare there is a 50 % chance of getting blood . Take another vaccine you will get the same thing .","AZ Clots","2021-05-20"
"218","Funny how the government no longer this poison , and here ’ s who ’ t even get the vaccine it ’ s all good .","AZ Clots","2021-05-20"
"219","Do they have a vaccine for blood I can take first ?","AZ Clots","2021-05-20"
"220","Deport them 😲👍","AZ Clots","2021-05-20"
"221","The vaccine in .","AZ Clots","2021-05-20"
"222","and it effects are not confidence to get a shot scot and his band of incompetent not to have on one drug and they have miserably again the people by not being able to secure like [ or","AZ Clots","2021-05-20"
"223","Doctor felt good that day . Many knew her as the abortionist with the gentle who kept a dark secret that the public had chosen to ignore . She was not averse to the gentle persuasion of a pillow against a soft shell skull while on celebratory eggnog to the birth of . It was . She was ruddy faced with Dutch courage . So full of self - confidence as she carried a new born from the maternity ward to play with in the hospital . She was rocking back and forth on the throne when suddenly the little baby slipped out of her like a greasy too tightly in the bun . The baby fell head first onto the concrete floor and the skull with a teaspoon crack , pop and snap into a bloody mosaic on the cement floor . She got and in an hysterical fit the still kicking baby gently into the toilet bowl like it was a cradle . She the toilet button and the now lifeless baby and rolled as she backed away ...","AZ Clots","2021-05-20"
"224","Six new in the lottery .","AZ Clots","2021-05-20"
"225","Murder .","AZ Clots","2021-05-20"
